Jacob Ramsey,England,Aston Villa,2021/2022,Midfielder
Jacob Ramsey,England,Aston Villa,2020/2021,Midfielder
Jacob Ramsey,England,Aston Villa,2019/2020,Midfielder
Darren Randolph,Ireland,West Ham United,2021/2022,Goalkeeper
Darren Randolph,Ireland,West Ham United,2020/2021,Goalkeeper
Darren Randolph,Ireland,West Ham United,2019/2020,Goalkeeper
Raphinha,Brazil,Leeds United,2021/2022,Forward
Raphinha,Brazil,Leeds United,2020/2021,Forward
Marcus Rashford,England,Manchester United,2021/2022,Forward
Marcus Rashford,England,Manchester United,2020/2021,Forward
Marcus Rashford,England,Manchester United,2019/2020,Forward
Marcus Rashford,England,Manchester United,2018/2019,Forward
Milot Rashica,Kosovo,Norwich City,2021/2022,Midfielder
David Raya,Spain,Brentford,2021/2022,Goalkeeper
Nathan Redmond,England,Southampton,2021/2022,Midfielder
Nathan Redmond,England,Southampton,2020/2021,Midfielder
Nathan Redmond,England,Southampton,2019/2020,Midfielder
Nathan Redmond,England,Southampton,2018/2019,Midfielder
Sergio Reguiln,Spain,Tottenham Hotspur,2021/2022,Defender
Sergio Reguiln,Spain,Tottenham Hotspur,2020/2021,Defender
Winston Reid,New Zealand,West Ham United,2021/2022,Defender
Winston Reid,New Zealand,West Ham United,2019/2020,Defender
Winston Reid,New Zealand,West Ham United,2018/2019,Defender
Omar Rekik,Tunisia,Arsenal,2021/2022,Defender
Rhys Williams,England,Liverpool,2021/2022,Defender
Rhys Williams,England,Liverpool,2020/2021,Defender
Ricardo Pereira,Portugal,Leicester City,2021/2022,Defender
Ricardo Pereira,Portugal,Leicester City,2020/2021,Defender
Ricardo Pereira,Portugal,Leicester City,2019/2020,Defender
Ricardo Pereira,Portugal,Leicester City,2018/2019,Defender
Declan Rice,England,West Ham United,2021/2022,Midfielder
Declan Rice,England,West Ham United,2020/2021,Midfielder
Declan Rice,England,West Ham United,2019/2020,Midfielder
Declan Rice,England,West Ham United,2018/2019,Midfielder
Taylor Richards,England,Brighton & Hove Albion,2021/2022,Midfielder
Taylor Richards,England,Brighton and Hove Albion,2020/2021,Midfielder
Taylor Richards,England,Manchester City,2019/2020,Midfielder
Taylor Richards,England,Manchester City,2018/2019,Midfielder
Lewis Richardson,England,Burnley,2021/2022,Forward
Lewis Richardson,England,Burnley,2020/2021,Forward
Lewis Richardson,England,Burnley,2019/2020,Forward
Richarlison,Brazil,Everton,2021/2022,Forward
Richarlison,Brazil,Everton,2020/2021,Forward
Richarlison,Brazil,Everton,2019/2020,Forward
Richarlison,Brazil,Watford,2018/2019,Forward
Jairo Riedewald,Netherlands,Crystal Palace,2021/2022,Midfielder
Jairo Riedewald,Netherlands,Crystal Palace,2020/2021,Midfielder
Jairo Riedewald,Netherlands,Crystal Palace,2019/2020,Midfielder
Jairo Riedewald,Netherlands,Crystal Palace,2018/2019,Midfielder
Matt Ritchie,Scotland,Newcastle United,2021/2022,Midfielder
Matt Ritchie,Scotland,Newcastle United,2020/2021,Midfielder
Matt Ritchie,Scotland,Newcastle United,2019/2020,Midfielder
Matt Ritchie,Scotland,Newcastle United,2018/2019,Midfielder
Roberto Firmino,Brazil,Liverpool,2021/2022,Forward
Roberto Firmino,Brazil,Liverpool,2020/2021,Forward
Roberto Firmino,Brazil,Liverpool,2019/2020,Forward
Roberto Firmino,Brazil,Liverpool,2018/2019,Forward
Haydon Roberts,England,Brighton and Hove Albion,2021/2022,Defender
Haydon Roberts,England,Brighton & Hove Albion,2020/2021,Defender
Haydon Roberts,England,Brighton & Hove Albion,2019/2020,Defender
Andrew Robertson,Scotland,Liverpool,2021/2022,Defender
Andrew Robertson,Scotland,Liverpool,2020/2021,Defender
Andrew Robertson,Scotland,Liverpool,2019/2020,Defender
Andrew Robertson,Scotland,Liverpool,2018/2019,Defender
Joe Rodon,Wales,Tottenham Hotspur,2021/2022,Defender
Joe Rodon,Wales,Tottenham Hotspur,2020/2021,Defender
Rodri,Spain,Manchester City,2021/2022,Midfielder
Rodri,Spain,Manchester City,2020/2021,Midfielder
Rodri,Spain,Manchester City,2019/2020,Midfielder
Rodrigo,Spain,Leeds United,2021/2022,Forward
Rodrigo,Spain,Leeds United,2020/2021,Forward
Jay Rodriguez,England,Burnley,2021/2022,Forward
Jay Rodriguez,England,Burnley,2020/2021,Forward
Jay Rodriguez,England,Burnley,2019/2020,Forward
Mads Roerslev,Denmark,Brentford,2021/2022,Defender
Morgan Rogers,England,Manchester City,2021/2022,Forward
Sergio Romero,Argentina,Manchester United,2021/2022,Goalkeeper
Sergio Romero,Argentina,Manchester United,2020/2021,Goalkeeper
Sergio Romero,Argentina,Manchester United,2019/2020,Goalkeeper
Sergio Romero,Argentina,Manchester United,2018/2019,Goalkeeper
Oriol Romeu,Spain,Southampton,2021/2022,Midfielder
Oriol Romeu,Spain,Southampton,2020/2021,Midfielder
Oriol Romeu,Spain,Southampton,2019/2020,Midfielder
Oriol Romeu,Spain,Southampton,2018/2019,Midfielder
Salomn Rondn,Venezuela,Everton,2021/2022,Forward
Salomn Rondn,Venezuela,Newcastle United  (Loan) ,2019/2020,Forward
Salomn Rondn,Venezuela,Newcastle United  (Loan) ,2018/2019,Forward
Danny Rose,England,Watford,2021/2022,Defender
Danny Rose,England,Newcastle United  (Loan) ,2020/2021,Defender
Danny Rose,England,Tottenham Hotspur,2019/2020,Defender
Danny Rose,England,Tottenham Hotspur,2018/2019,Defender
Jonathan Rowe,England,Norwich City,2021/2022,Forward
Rben Dias,Portugal,Manchester City,2021/2022,Defender
Rben Dias,Portugal,Manchester City,2020/2021,Defender
Rben Neves,Portugal,Wolverhampton Wanderers,2021/2022,Midfielder
Rben Neves,Portugal,Wolverhampton Wanderers,2020/2021,Midfielder
Rben Neves,Portugal,Wolverhampton Wanderers,2019/2020,Midfielder
Rben Neves,Portugal,Wolverhampton Wanderers,2018/2019,Midfielder
Rben Vinagre,Portugal,Wolverhampton Wanderers,2021/2022,Defender
Rben Vinagre,Portugal,Wolverhampton Wanderers,2020/2021,Defender
Rben Vinagre,Portugal,Wolverhampton Wanderers,2019/2020,Defender
Rben Vinagre,Portugal,Wolverhampton Wanderers  (Loan) ,2018/2019,Defender
John Ruddy,England,Wolverhampton Wanderers,2021/2022,Goalkeeper
John Ruddy,England,Wolverhampton Wanderers,2020/2021,Goalkeeper
John Ruddy,England,Wolverhampton Wanderers,2019/2020,Goalkeeper
John Ruddy,England,Wolverhampton Wanderers,2018/2019,Goalkeeper
Antonio Rdiger,Germany,Chelsea,2021/2022,Defender
Antonio Rdiger,Germany,Chelsea,2020/2021,Defender
Antonio Rdiger,Germany,Chelsea,2019/2020,Defender
Antonio Rdiger,Germany,Chelsea,2018/2019,Defender
Rui Patrcio,Portugal,Wolverhampton Wanderers,2021/2022,Goalkeeper
Rui Patrcio,Portugal,Wolverhampton Wanderers,2020/2021,Goalkeeper
Rui Patrcio,Portugal,Wolverhampton Wanderers,2019/2020,Goalkeeper
Rui Patrcio,Portugal,Wolverhampton Wanderers,2018/2019,Goalkeeper
Rnar Rnarsson,Iceland,Arsenal,2021/2022,Goalkeeper
Rnar Rnarsson,Iceland,Arsenal,2020/2021,Goalkeeper
Lukas Rupp,Germany,Norwich City,2021/2022,Midfielder
Lukas Rupp,Germany,Norwich City,2019/2020,Midfielder
Mathew Ryan,Australia,Brighton and Hove Albion,2021/2022,Goalkeeper
Mathew Ryan,Australia,Brighton and Hove Albion,2020/2021,Goalkeeper
Mathew Ryan,Australia,Brighton and Hove Albion,2019/2020,Goalkeeper
Mathew Ryan,Australia,Brighton and Hove Albion,2018/2019,Goalkeeper
Allan Saint-Maximin,France,Newcastle United,2021/2022,Forward
Allan Saint-Maximin,France,Newcastle United,2020/2021,Forward
Allan Saint-Maximin,France,Newcastle United,2019/2020,Forward
Romain Sass,Morocco,Wolverhampton Wanderers,2021/2022,Midfielder
Romain Sass,Morocco,Wolverhampton Wanderers,2020/2021,Midfielder
Romain Sass,Morocco,Wolverhampton Wanderers,2019/2020,Midfielder
Romain Sass,Morocco,Wolverhampton Wanderers,2018/2019,Midfielder
Henri Saivet,Senegal,Newcastle United,2021/2022,Midfielder
Henri Saivet,Senegal,Newcastle United,2020/2021,Midfielder
Henri Saivet,Senegal,Newcastle United,2019/2020,Midfielder
Bukayo Saka,England,Arsenal,2021/2022,Forward
Bukayo Saka,England,Arsenal,2020/2021,Forward
Bukayo Saka,England,Arsenal,2019/2020,Forward
Bukayo Saka,England,Arsenal,2018/2019,Forward
Mamadou Sakho,France,Crystal Palace,2021/2022,Defender
Mamadou Sakho,France,Crystal Palace,2020/2021,Defender
Mamadou Sakho,France,Crystal Palace,2019/2020,Defender
Mamadou Sakho,France,Crystal Palace,2018/2019,Defender
William Saliba,France,Arsenal,2021/2022,Defender
William Saliba,France,Arsenal,2020/2021,Defender
William Saliba,France,Arsenal,2019/2020,Defender
Mohammed Salisu,Ghana,Southampton,2021/2022,Defender
Mohammed Salisu,Ghana,Southampton,2020/2021,Defender
Mbwana Samatta,Tanzania,Aston Villa,2021/2022,Forward
Mbwana Samatta,Tanzania,Aston Villa,2020/2021,Forward
Mbwana Samatta,Tanzania,Aston Villa,2019/2020,Forward
Albert Sambi Lokonga,Belgium,Arsenal,2021/2022,Midfielder
Samir,Brazil,Watford,2021/2022,Defender
Robert Snchez,Spain,Brighton and Hove Albion,2021/2022,Goalkeeper
Robert Snchez,Spain,Brighton and Hove Albion,2020/2021,Goalkeeper
Robert Snchez,Spain,Brighton & Hove Albion,2019/2020,Goalkeeper
Robert Snchez,Spain,Brighton & Hove Albion,2018/2019,Goalkeeper
Jadon Sancho,England,Manchester United,2021/2022,Forward
Dion Sanderson,England,Wolverhampton Wanderers,2021/2022,Defender
Dion Sanderson,England,Wolverhampton Wanderers,2019/2020,Defender
Philippe Sandler,Netherlands,Manchester City,2021/2022,Defender
Philippe Sandler,Netherlands,Manchester City,2019/2020,Defender
Philippe Sandler,Netherlands,Manchester City,2018/2019,Defender
Morgan Sanson,France,Aston Villa,2021/2022,Midfielder
Morgan Sanson,France,Aston Villa,2020/2021,Midfielder
Joshua Sargent,United States,Norwich City,2021/2022,Forward
Matija Sarkic,Montenegro,Wolverhampton Wanderers,2021/2022,Goalkeeper
Matija Sarkic,Montenegro,Aston Villa,2020/2021,Goalkeeper
Matija Sarkic,Montenegro,Aston Villa,2019/2020,Goalkeeper
Jeremy Sarmiento,Ecuador,Brighton and Hove Albion,2021/2022,Forward
Malang Sarr,France,Chelsea,2021/2022,Defender
Malang Sarr,France,Chelsea,2020/2021,Defender
Charlie Savage,Wales,Manchester United,2021/2022,Midfielder
Dane Scarlett,England,Tottenham Hotspur,2021/2022,Forward
Dane Scarlett,England,Tottenham Hotspur,2020/2021,Forward
Fabian Schr,Switzerland,Newcastle United,2021/2022,Defender
Fabian Schr,Switzerland,Newcastle United,2020/2021,Defender
Fabian Schr,Switzerland,Newcastle United,2019/2020,Defender
Fabian Schr,Switzerland,Newcastle United,2018/2019,Defender
Kjell Scherpen,Netherlands,Brighton and Hove Albion,2021/2022,Goalkeeper
Jeffrey Schlupp,Ghana,Crystal Palace,2021/2022,Midfielder
Jeffrey Schlupp,Ghana,Crystal Palace,2020/2021,Midfielder
Jeffrey Schlupp,Ghana,Crystal Palace,2019/2020,Midfielder
Jeffrey Schlupp,Ghana,Crystal Palace,2018/2019,Midfielder
Kasper Schmeichel,Denmark,Leicester City,2021/2022,Goalkeeper
Kasper Schmeichel,Denmark,Leicester City,2020/2021,Goalkeeper
Kasper Schmeichel,Denmark,Leicester City,2019/2020,Goalkeeper
Kasper Schmeichel,Denmark,Leicester City,2018/2019,Goalkeeper
Ken Sema,Sweden,Watford,2021/2022,Midfielder
Ken Sema,Sweden,Watford,2019/2020,Midfielder
Ken Sema,Sweden,Watford,2018/2019,Midfielder
Ryan Sessegnon,England,Tottenham Hotspur,2021/2022,Midfielder
Ryan Sessegnon,England,Tottenham Hotspur,2020/2021,Midfielder
Ryan Sessegnon,England,Tottenham Hotspur,2019/2020,Midfielder
Ryan Sessegnon,England,Fulham,2018/2019,Midfielder
Meritan Shabani,Germany,Wolverhampton Wanderers,2021/2022,Midfielder
Meritan Shabani,Germany,Wolverhampton Wanderers,2020/2021,Midfielder
Meritan Shabani,Germany,Wolverhampton Wanderers,2019/2020,Midfielder
Jamie Shackleton,England,Leeds United,2021/2022,Midfielder
Jamie Shackleton,England,Leeds United,2020/2021,Midfielder
Xherdan Shaqiri,Switzerland,Liverpool,2021/2022,Midfielder
Xherdan Shaqiri,Switzerland,Liverpool,2020/2021,Midfielder
Xherdan Shaqiri,Switzerland,Liverpool,2019/2020,Midfielder
Xherdan Shaqiri,Switzerland,Liverpool,2018/2019,Midfielder
Teddy Sharman-Lowe,England,Chelsea,2021/2022,Goalkeeper
Luke Shaw,England,Manchester United,2021/2022,Defender
Luke Shaw,England,Manchester United,2020/2021,Defender
Luke Shaw,England,Manchester United,2019/2020,Defender
Luke Shaw,England,Manchester United,2018/2019,Defender
Jonjo Shelvey,England,Newcastle United,2021/2022,Midfielder
Jonjo Shelvey,England,Newcastle United,2020/2021,Midfielder
Jonjo Shelvey,England,Newcastle United,2019/2020,Midfielder
Jonjo Shelvey,England,Newcastle United,2018/2019,Midfielder
Nathan Shepperd,Wales,Brentford,2021/2022,Goalkeeper
Shola Shoretire,England,Manchester United,2021/2022,Forward
Shola Shoretire,England,Manchester United,2020/2021,Forward
Sidnei Tavares,Portugal,Leicester City,2021/2022,Midfielder
Sidnei Tavares,Portugal,Leicester City,2020/2021,Midfielder
Sidnei Tavares,Portugal,Leicester City,2019/2020,Midfielder
Francisco Sierralta,Chile,Watford,2021/2022,Defender
Gylfi Sigurdsson,Iceland,Everton,2021/2022,Midfielder
Gylfi Sigurdsson,Iceland,Everton,2020/2021,Midfielder
Gylfi Sigurdsson,Iceland,Everton,2019/2020,Midfielder
Gylfi Sigurdsson,Iceland,Everton,2018/2019,Midfielder
Abdallah Sima,Senegal,Brighton and Hove Albion,2021/2022,Forward
Dynel Simeu,England,Southampton,2021/2022,Defender
Dynel Simeu,England,Chelsea,2020/2021,Defender
Ellis Simms,England,Everton,2021/2022,Forward
Ellis Simms,England,Everton,2020/2021,Forward
Ellis Simms,England,Everton,2019/2020,Forward
Kamarai Simon-Swyer,England,West Ham United,2021/2022,Forward
Xavier Simons,England,Chelsea,2021/2022,Midfielder
Danel Sinani,Luxembourg,Norwich City,2021/2022,Midfielder
Viljami Sinisalo,Finland,Aston Villa,2021/2022,Goalkeeper
Moussa Sissoko,France,Tottenham Hotspur,2021/2022,Midfielder
Moussa Sissoko,France,Tottenham Hotspur,2020/2021,Midfielder
Moussa Sissoko,France,Tottenham Hotspur,2019/2020,Midfielder
Moussa Sissoko,France,Tottenham Hotspur,2018/2019,Midfielder
Melvin Sitti,France,Norwich City,2021/2022,Midfielder
Melvin Sitti,France,Norwich City,2019/2020,Midfielder
Oliver Skipp,England,Tottenham Hotspur,2021/2022,Midfielder
Oliver Skipp,England,Tottenham Hotspur,2020/2021,Midfielder
Oliver Skipp,England,Tottenham Hotspur,2019/2020,Midfielder
Oliver Skipp,England,Tottenham Hotspur,2018/2019,Midfielder
Cieran Slicker,Scotland,Manchester City,2021/2022,Goalkeeper
Thierry Small,England,Everton,2021/2022,Defender
Thierry Small,England,Everton,2020/2021,Defender
William Smallbone,Ireland,Southampton,2021/2022,Forward
William Smallbone,Ireland,Southampton,2020/2021,Forward
William Smallbone,Ireland,Southampton U21,2019/2020,Forward
Tom Smith,England,Arsenal,2021/2022,Goalkeeper
Emile Smith Rowe,England,Arsenal,2021/2022,Midfielder
Emile Smith Rowe,England,Arsenal,2020/2021,Midfielder
Emile Smith Rowe,England,Arsenal,2019/2020,Midfielder
Emile Smith Rowe,England,Arsenal,2018/2019,Midfielder
Son Heung-Min,South Korea,Tottenham Hotspur,2021/2022,Forward
Son Heung-Min,South Korea,Tottenham Hotspur,2020/2021,Forward
Son Heung-Min,South Korea,Tottenham Hotspur,2019/2020,Forward
Son Heung-Min,South Korea,Tottenham Hotspur,2018/2019,Forward
Andreas Sndergaard,Denmark,Wolverhampton Wanderers,2021/2022,Goalkeeper
Andreas Sndergaard,Denmark,Wolverhampton Wanderers,2020/2021,Goalkeeper
Andreas Sndergaard,Denmark,Wolverhampton Wanderers,2019/2020,Goalkeeper
Jude Soonsup-Bell,England,Chelsea,2021/2022,Forward
Sebastian Soto,United States,Norwich City,2021/2022,Forward
Tomas Soucek,Czech Republic,West Ham United,2021/2022,Midfielder
Tomas Soucek,Czech Republic,West Ham United,2020/2021,Midfielder
Tomas Soucek,Czech Republic,West Ham United  (Loan) ,2019/2020,Midfielder
Boubakary Soumar,France,Leicester City,2021/2022,Midfielder
Kamal Sowah,Ghana,Leicester City,2021/2022,Midfielder
aglar Sync,Turkey,Leicester City,2021/2022,Defender
aglar Sync,Turkey,Leicester City,2020/2021,Defender
aglar Sync,Turkey,Leicester City,2019/2020,Defender
aglar Sync,Turkey,Leicester City,2018/2019,Defender
Tony Springett,England,Norwich City,2021/2022,Midfielder
Jason Steele,England,Brighton and Hove Albion,2021/2022,Goalkeeper
Jason Steele,England,Brighton & Hove Albion,2020/2021,Goalkeeper
Jason Steele,England,Brighton and Hove Albion,2019/2020,Goalkeeper
Jason Steele,England,Brighton and Hove Albion,2018/2019,Goalkeeper
Jed Steer,England,Aston Villa,2021/2022,Goalkeeper
Jed Steer,England,Aston Villa,2020/2021,Goalkeeper
Jed Steer,England,Aston Villa,2019/2020,Goalkeeper
Zack Steffen,United States,Manchester City,2021/2022,Goalkeeper
Zack Steffen,United States,Manchester City,2020/2021,Goalkeeper
Zack Steffen,United States,Manchester City,2019/2020,Goalkeeper
Dale Stephens,England,Burnley,2021/2022,Midfielder
Dale Stephens,England,Brighton and Hove Albion,2020/2021,Midfielder
Dale Stephens,England,Brighton and Hove Albion,2019/2020,Midfielder
Dale Stephens,England,Brighton and Hove Albion,2018/2019,Midfielder
Dujon Sterling,England,Chelsea,2021/2022,Defender
Dujon Sterling,England,Chelsea,2019/2020,Defender
Dujon Sterling,England,Chelsea,2018/2019,Defender
Finley Stevens,Wales,Brentford,2021/2022,Defender
Toby Stevenson,England,Watford,2021/2022,Defender
Marco Stiepermann,Germany,Norwich City,2021/2022,Forward
Marco Stiepermann,Germany,Norwich City,2019/2020,Forward
Jakub Stolarczyk,Poland,Leicester City,2021/2022,Goalkeeper
Jakub Stolarczyk,Poland,Leicester City,2020/2021,Goalkeeper
John Stones,England,Manchester City,2021/2022,Defender
John Stones,England,Manchester City,2020/2021,Defender
John Stones,England,Manchester City,2019/2020,Defender
John Stones,England,Manchester City,2018/2019,Defender
James Storer,England,Wolverhampton Wanderers,2021/2022,Goalkeeper
Robert Street,England,Crystal Palace,2021/2022,Forward
Pascal Struijk,Netherlands,Leeds United,2021/2022,Defender
Pascal Struijk,Netherlands,Leeds United,2020/2021,Defender
Stuart Armstrong,Scotland,Southampton,2021/2022,Midfielder
Stuart Armstrong,Scotland,Southampton,2020/2021,Midfielder
Stuart Armstrong,Scotland,Southampton,2019/2020,Midfielder
Stuart Armstrong,Scotland,Southampton,2018/2019,Midfielder
Isaac Success,Nigeria,Watford,2021/2022,Forward
Isaac Success,Nigeria,Watford,2019/2020,Forward
Isaac Success,Nigeria,Watford,2018/2019,Forward
Thanawat Suengchitthawon,Thailand,Leicester City,2021/2022,Midfielder
Thanawat Suengchitthawon,Thailand,Leicester City,2020/2021,Midfielder
Crysencio Summerville,Netherlands,Leeds United,2021/2022,Midfielder
Crysencio Summerville,Netherlands,Leeds United U21,2020/2021,Midfielder
Zak Swanson,England,Arsenal,2021/2022,Defender
Sil Swinkels,Netherlands,Aston Villa,2021/2022,Defender
Sil Swinkels,Netherlands,Aston Villa U21,2020/2021,Defender
Jacob Srensen,Denmark,Norwich City,2021/2022,Midfielder
Michael Tait,England,Aston Villa,2021/2022,Forward
Michael Tait,England,Aston Villa,2020/2021,Forward
Japhet Tanganga,England,Tottenham Hotspur U21,2021/2022,Defender
Japhet Tanganga,England,Tottenham Hotspur U21,2020/2021,Defender
Japhet Tanganga,England,Tottenham Hotspur U21,2019/2020,Defender
Japhet Tanganga,England,Tottenham Hotspur,2018/2019,Defender
Matt Targett,England,Aston Villa,2021/2022,Defender
Matt Targett,England,Aston Villa,2020/2021,Defender
Matt Targett,England,Southampton,2019/2020,Defender
Matt Targett,England,Southampton,2018/2019,Defender
James Tarkowski,England,Burnley,2021/2022,Defender
James Tarkowski,England,Burnley,2020/2021,Defender
James Tarkowski,England,Burnley,2019/2020,Defender
James Tarkowski,England,Burnley,2018/2019,Defender
Percy Tau,South Africa,Brighton and Hove Albion,2021/2022,Forward
Percy Tau,South Africa,Brighton and Hove Albion,2020/2021,Forward
Percy Tau,South Africa,Brighton and Hove Albion,2019/2020,Forward
Percy Tau,South Africa,Brighton and Hove Albion,2018/2019,Forward
Neil Taylor,Wales,Aston Villa,2021/2022,Defender
Neil Taylor,Wales,Aston Villa,2020/2021,Defender
Neil Taylor,Wales,Aston Villa,2019/2020,Defender
Allan Tchaptchet,France,Southampton,2021/2022,Defender
Allan Tchaptchet,France,Southampton,2020/2021,Defender
Nathan Tella,England,Southampton,2021/2022,Midfielder
Nathan Tella,England,Southampton,2020/2021,Midfielder
Nathan Tella,England,Southampton,2019/2020,Midfielder
Thiago,Spain,Liverpool,2021/2022,Midfielder
Thiago,Spain,Liverpool,2020/2021,Midfielder
Thiago Silva,Brazil,Chelsea,2021/2022,Defender
Thiago Silva,Brazil,Chelsea,2020/2021,Defender
Bobby Thomas,England,Burnley,2021/2022,Defender
Bobby Thomas,England,Burnley,2020/2021,Defender
Bobby Thomas,England,Burnley,2019/2020,Defender
Dominic Thompson,England,Brentford,2021/2022,Defender
Dominic Thompson,England,Arsenal U21,2019/2020,Defender
Youri Tielemans,Belgium,Leicester City,2021/2022,Midfielder
Youri Tielemans,Belgium,Leicester City,2020/2021,Midfielder
Youri Tielemans,Belgium,Leicester City  (Loan) ,2019/2020,Midfielder
Youri Tielemans,Belgium,Leicester City  (Loan) ,2018/2019,Midfielder
Kieran Tierney,Scotland,Arsenal,2021/2022,Defender
Kieran Tierney,Scotland,Arsenal,2020/2021,Defender
Kieran Tierney,Scotland,Arsenal,2019/2020,Defender
Tom Dele-Bashiru,Nigeria,Watford,2021/2022,Midfielder
Tom Dele-Bashiru,Nigeria,Watford,2019/2020,Midfielder
Tom Dele-Bashiru,Nigeria,Manchester City,2018/2019,Midfielder
Takehiro Tomiyasu,Japan,Arsenal,2021/2022,Defender
James Tomkins,England,Crystal Palace,2021/2022,Defender
James Tomkins,England,Crystal Palace,2020/2021,Defender
James Tomkins,England,Crystal Palace,2019/2020,Defender
James Tomkins,England,Crystal Palace,2018/2019,Defender
Jonathan Tomkinson,United States,Norwich City,2021/2022,Defender
Tommi O'Reilly,England,Aston Villa,2021/2022,Midfielder
Fikayo Tomori,England,Chelsea,2021/2022,Defender
Fikayo Tomori,England,Chelsea,2020/2021,Defender
Fikayo Tomori,England,Chelsea,2019/2020,Defender
Fikayo Tomori,England,Chelsea,2018/2019,Defender
Ivan Toney,England,Brentford,2021/2022,Forward
Lucas Torreira,Uruguay,Arsenal,2021/2022,Midfielder
Lucas Torreira,Uruguay,Arsenal,2020/2021,Midfielder
Lucas Torreira,Uruguay,Arsenal,2019/2020,Midfielder
Lucas Torreira,Uruguay,Arsenal,2018/2019,Midfielder
Ferran Torres,Spain,Manchester City,2021/2022,Forward
Ferran Torres,Spain,Manchester City,2020/2021,Forward
Cenk Tosun,Turkey,Everton,2021/2022,Forward
Cenk Tosun,Turkey,Everton,2020/2021,Forward
Cenk Tosun,Turkey,Everton  (Loan) ,2019/2020,Forward
Cenk Tosun,Turkey,Everton  (Loan) ,2018/2019,Forward
Toti,Portugal,Wolverhampton Wanderers,2021/2022,Defender
Andros Townsend,England,Crystal Palace,2021/2022,Midfielder
Andros Townsend,England,Crystal Palace,2020/2021,Midfielder
Andros Townsend,England,Crystal Palace,2019/2020,Midfielder
Andros Townsend,England,Crystal Palace,2018/2019,Midfielder
James Trafford,England,Manchester City U21,2021/2022,Goalkeeper
James Trafford,England,Manchester City U21,2020/2021,Goalkeeper
Bertrand Traor,Burkina Faso,Aston Villa,2021/2022,Forward
Bertrand Traor,Burkina Faso,Aston Villa,2020/2021,Forward
Trzguet,Egypt,Aston Villa,2021/2022,Midfielder
Trzguet,Egypt,Aston Villa,2020/2021,Midfielder
Trzguet,Egypt,Aston Villa,2019/2020,Midfielder
Trinco,Portugal,Wolverhampton Wanderers  (Loan) ,2021/2022,Forward
Kieran Trippier,England,Newcastle United,2021/2022,Defender
Kieran Trippier,England,Tottenham Hotspur,2019/2020,Defender
Kieran Trippier,England,Tottenham Hotspur,2018/2019,Defender
William Troost-Ekong,Nigeria,Watford,2021/2022,Defender
Leandro Trossard,Belgium,Brighton and Hove Albion,2021/2022,Forward
Leandro Trossard,Belgium,Brighton and Hove Albion,2020/2021,Forward
Leandro Trossard,Belgium,Brighton and Hove Albion,2019/2020,Forward
Nathan Trott,England,West Ham United,2021/2022,Goalkeeper
Nathan Trott,England,West Ham United,2020/2021,Goalkeeper
Nathan Trott,England,West Ham United,2019/2020,Goalkeeper
Nathan Trott,England,West Ham United,2018/2019,Goalkeeper
Auston Trusty,United States,Arsenal,2021/2022,Defender
Tom Trybull,Germany,Norwich City,2021/2022,Midfielder
Tom Trybull,Germany,Norwich City,2019/2020,Midfielder
Konstantinos Tsimikas,Greece,Liverpool,2021/2022,Defender
Konstantinos Tsimikas,Greece,Liverpool,2020/2021,Defender
Antef Tsoungui,England,Brighton & Hove Albion,2021/2022,Defender
Axel Tuanzebe,England,Manchester United,2021/2022,Defender
Axel Tuanzebe,England,Manchester United,2020/2021,Defender
Axel Tuanzebe,England,Manchester United,2019/2020,Defender
Axel Tuanzebe,England,Manchester United,2018/2019,Defender
Ozan Tufan,Turkey,Watford  (Loan) ,2021/2022,Midfielder
Ed Turns,Wales,Brighton and Hove Albion,2021/2022,Defender
Harry Tyrer,England,Everton,2021/2022,Goalkeeper
Harry Tyrer,England,Everton,2020/2021,Goalkeeper
Christos Tzolis,Greece,Norwich City,2021/2022,Forward
Ik Ugbo,Canada,Chelsea,2021/2022,Forward
Ik Ugbo,Canada,Chelsea U21,2019/2020,Forward
Deniz Undav,Germany,Brighton and Hove Albion,2021/2022,Forward
Cengiz nder,Turkey,Leicester City  (Loan) ,2021/2022,Forward
Cengiz nder,Turkey,Leicester City  (Loan) ,2020/2021,Forward
Harvey Vale,England,Chelsea,2021/2022,Midfielder
Harvey Vale,England,Chelsea,2020/2021,Midfielder
Joel Valencia,Ecuador,Brentford,2021/2022,Forward
Yan Valery,France,Southampton,2021/2022,Defender
Yan Valery,France,Southampton U21,2020/2021,Defender
Yan Valery,France,Southampton,2019/2020,Defender
Yan Valery,France,Southampton,2018/2019,Defender
Patrick van Aanholt,Netherlands,Crystal Palace,2021/2022,Defender
Patrick van Aanholt,Netherlands,Crystal Palace,2020/2021,Defender
Patrick van Aanholt,Netherlands,Crystal Palace,2019/2020,Defender
Patrick van Aanholt,Netherlands,Crystal Palace,2018/2019,Defender
Donny van de Beek,Netherlands,Manchester United,2021/2022,Midfielder
Donny van de Beek,Netherlands,Manchester United,2020/2021,Midfielder
Virgil van Dijk,Netherlands,Liverpool,2021/2022,Defender
Virgil van Dijk,Netherlands,Liverpool,2020/2021,Defender
Virgil van Dijk,Netherlands,Liverpool,2019/2020,Defender
Virgil van Dijk,Netherlands,Liverpool,2018/2019,Defender
Mikki van Sas,Netherlands,Manchester City,2021/2022,Goalkeeper
Raphal Varane,France,Manchester United,2021/2022,Defender
Jamie Vardy,England,Leicester City,2021/2022,Forward
